session_code,subject_code,created_at,started_at,condition_id,condition_label,N,Sc,Si,bit_rate_bps,accuracy,duration_s,is_current_condition,is_latest_for_subject_condition,completed_all_11
R0001,S01,2026-04-24T04:41:39.337583+00:00,2026-04-24T04:40:38.460Z,single_char_random_letters,Single characters,26,174,8,12.848002,0.956044,60,true,false,false
R0002,S01,2026-04-24T04:43:06.400615+00:00,2026-04-24T04:42:14.280Z,single_char_random_letters,Single characters,26,4,130,0,0.029851,60,true,true,false
R0003,S02,2026-04-24T04:47:12.174149+00:00,2026-04-24T04:46:11.476Z,three_char_common_words_n100,3-char common words,100,121,14,11.822353,0.896296,60,true,true,false
R0004,S03,2026-04-24T05:02:33.41962+00:00,2026-04-24T05:01:32.580Z,single_char_random_letters,Single characters,26,84,0,6.501399,1,60,true,true,false
R0005,S03,2026-04-24T05:03:54.721835+00:00,2026-04-24T05:02:54.134Z,three_char_common_words_n100,3-char common words,100,61,2,6.518867,0.968254,60,true,true,false
R0006,S03,2026-04-24T05:05:16.135307+00:00,2026-04-24T05:04:15.655Z,three_char_pronounceable_nonwords_n500,three_char_pronounceable_nonwords_n500,500,50,1,7.319698,0.980392,60,false,true,false
R0007,S03,2026-04-24T05:06:29.616455+00:00,2026-04-24T05:05:29.300Z,five_char_common_words_n1000,5-char common words,1000,45,1,7.307183,0.978261,60,true,true,false
R0008,S04,2026-04-24T05:10:38.265726+00:00,2026-04-24T05:09:36.598Z,five_char_common_words_n1000,5-char common words,1000,74,8,10.960775,0.902439,60,true,true,false
R0009,S04,2026-04-24T05:11:53.276645+00:00,2026-04-24T05:10:52.283Z,three_char_pronounceable_nonwords_n500,three_char_pronounceable_nonwords_n500,500,75,8,10.008567,0.903614,60,false,true,false
R0010,S04,2026-04-24T05:13:08.659776+00:00,2026-04-24T05:12:07.286Z,three_char_common_words_n100,3-char common words,100,111,9,11.269906,0.925000,60,true,true,false
R0011,S04,2026-04-24T05:14:20.733681+00:00,2026-04-24T05:13:19.767Z,single_char_random_letters,Single characters,26,140,3,10.603472,0.979021,60,true,true,false
R0012,S05,2026-04-24T05:24:15.511509+00:00,2026-04-24T05:23:14.447Z,single_char_random_letters,Single characters,26,183,8,13.544581,0.958115,60,true,false,false
R0013,S05,2026-04-24T05:25:35.767934+00:00,2026-04-24T05:24:35.074Z,three_char_pronounceable_nonwords_n500,three_char_pronounceable_nonwords_n500,500,66,34,4.780211,0.660000,60,false,true,false
R0014,S05,2026-04-24T05:27:01.135924+00:00,2026-04-24T05:26:00.475Z,single_char_random_letters,Single characters,26,166,19,11.377448,0.897297,60,true,true,false
R0015,S05,2026-04-24T05:28:17.497095+00:00,2026-04-24T05:27:16.844Z,five_char_common_words_n1000,5-char common words,1000,81,35,7.639328,0.698276,60,true,true,false
R0016,S06,2026-04-24T05:38:32.921795+00:00,2026-04-24T05:37:32.434Z,three_char_common_words_n100,3-char common words,100,114,28,9.502078,0.802817,60,true,true,false
R0017,S06,2026-04-24T05:40:24.262778+00:00,2026-04-24T05:39:23.708Z,single_char_random_letters,Single characters,26,161,5,12.074026,0.969880,60,true,true,false
R0018,S06,2026-04-24T05:41:42.366733+00:00,2026-04-24T05:40:41.909Z,three_char_pronounceable_nonwords_n500,three_char_pronounceable_nonwords_n500,500,85,11,11.054238,0.885417,60,false,true,false
R0019,S06,2026-04-24T05:42:23.235122+00:00,2026-04-24T05:41:52.530Z,five_char_common_words_n1000,5-char common words,1000,32,20,3.960810,0.615385,60,true,false,false
R0020,S06,2026-04-24T05:43:37.662736+00:00,2026-04-24T05:42:37.408Z,five_char_common_words_n1000,5-char common words,1000,75,16,9.798269,0.824176,60,true,true,false
R0021,S07,2026-04-24T20:03:57.2453+00:00,2026-04-24T20:02:56.356Z,three_char_pronounceable_nonwords_n500,three_char_pronounceable_nonwords_n500,500,67,15,7.767843,0.817073,60,false,true,false
R0022,S07,2026-04-24T20:05:28.158279+00:00,2026-04-24T20:04:27.496Z,three_char_common_words_n100,3-char common words,100,100,10,9.944035,0.909091,60,true,true,false
R0023,S07,2026-04-24T20:06:38.642717+00:00,2026-04-24T20:05:37.666Z,five_char_common_words_n1000,5-char common words,1000,61,13,7.971473,0.824324,60,true,true,false
R0024,S07,2026-04-24T20:07:46.736541+00:00,2026-04-24T20:06:46.254Z,single_char_random_letters,Single characters,26,130,9,9.365110,0.935252,60,true,true,false
R0025,S01,2026-04-24T21:46:48.884932+00:00,2026-04-24T21:46:40.315Z,three_char_common_words_n100,3-char common words,100,6,0,4.750014,1,60,true,false,false
R0026,S01,2026-04-24T21:47:00.078495+00:00,2026-04-24T21:46:54.584Z,three_char_common_words_n100,3-char common words,100,6,0,7.514857,1,60,true,false,false
R0027,S01,2026-04-24T21:47:06.508197+00:00,2026-04-24T21:47:06.344Z,three_char_common_words_n100,3-char common words,100,0,0,0,,60,true,false,false
R0028,S01,2026-04-24T21:48:10.881262+00:00,2026-04-24T21:47:10.684Z,three_char_common_words_n100,3-char common words,100,1,0,0.110489,1,60,true,false,false
R0029,S01,2026-04-24T21:55:39.227282+00:00,2026-04-24T21:54:37.859Z,three_char_common_words_n100,3-char common words,100,31,7,2.651743,0.815789,60,true,false,false
R0030,S01,2026-04-24T22:00:51.534744+00:00,2026-04-24T21:59:50.851Z,three_char_common_words_n100,3-char common words,100,90,19,7.844739,0.825688,60,true,true,false
R0031,S01,2026-04-24T22:10:54.542553+00:00,2026-04-24T22:10:27.421Z,three_char_ergonomic_words_n100,three_char_ergonomic_words_n100,100,37,7,7.392428,0.840909,60,false,true,false
R0032,S01,2026-04-24T22:23:09.516425+00:00,2026-04-24T22:23:01.240Z,three_char_pronounceable_nonwords_n500,three_char_pronounceable_nonwords_n500,500,4,7,0,0.363636,60,false,true,false
R0033,S01,2026-04-24T22:23:17.871633+00:00,2026-04-24T22:23:17.813Z,five_char_ergonomic_words_n1000,five_char_ergonomic_words_n1000,1000,0,0,0,,60,false,true,false
R0034,S01,2026-04-24T22:25:47.543413+00:00,2026-04-24T22:25:17.929Z,three_char_ergonomic_nonwords_n100,3-char nonwords,100,40,4,8.131907,0.909091,60,true,true,false
R0035,S01,2026-04-24T22:30:20.918243+00:00,2026-04-24T22:29:43.264Z,three_char_ergonomic_nonwords_n1000,3-char nonwords,1000,23,4,5.093942,0.851852,60,true,true,false
R0036,S08,2026-04-24T22:34:00.573073+00:00,2026-04-24T22:33:00.290Z,single_char_random_letters,Single characters,26,100,6,7.275375,0.943396,60,true,true,false
R0037,S08,2026-04-24T22:35:22.966218+00:00,2026-04-24T22:34:22.823Z,three_char_common_words_n100,3-char common words,100,71,11,6.629357,0.865854,60,true,true,false
R0038,S08,2026-04-24T22:36:33.664374+00:00,2026-04-24T22:35:33.671Z,three_char_ergonomic_words_n100,three_char_ergonomic_words_n100,100,67,11,6.187400,0.858974,60,false,true,false
R0039,S08,2026-04-24T22:37:41.638182+00:00,2026-04-24T22:36:41.902Z,three_char_ergonomic_nonwords_n1000,3-char nonwords,1000,40,6,5.646460,0.869565,60,true,true,false
