session_code,subject_code,created_at,condition_id,condition_label,N,Sc,Si,bit_rate_bps,accuracy
R0053,S10,2026-04-25T04:48:46.865023+00:00,single_char_random_letters,Single characters,26,103,8,7.352772,0.927928
R0054,S10,2026-04-25T04:49:58.074986+00:00,three_char_common_words_n100,3-char common words,100,76,13,6.960824,0.853933
R0055,S10,2026-04-25T04:51:06.387117+00:00,three_char_all_words_n1567,3-char all words,1567,59,8,9.020938,0.880597
R0056,S10,2026-04-25T04:52:12.224186+00:00,three_char_ergonomic_nonwords_n100,3-char nonwords,100,39,10,3.204189,0.795918
R0057,S10,2026-04-25T04:53:21.43771+00:00,three_char_ergonomic_nonwords_n1000,3-char nonwords,1000,40,5,5.812532,0.888889
R0058,S10,2026-04-25T04:54:31.986497+00:00,three_char_ergonomic_nonwords_n16009,3-char nonwords,16009,39,10,6.750478,0.795918
R0059,S10,2026-04-25T04:55:57.79703+00:00,five_char_common_words_n1000,5-char common words,1000,49,16,5.480387,0.753846
R0060,S10,2026-04-25T04:57:05.215294+00:00,five_char_all_words_n10365,5-char all words,10365,39,10,6.447325,0.795918
R0061,S10,2026-04-25T04:58:11.653772+00:00,five_char_ergonomic_nonwords_n1000,5-char nonwords,1000,32,3,4.816098,0.914286
R0062,S10,2026-04-25T04:59:22.397061+00:00,five_char_ergonomic_nonwords_n100000,5-char nonwords,100000,20,7,3.598752,0.740741
R0063,S10,2026-04-25T05:00:29.877618+00:00,five_char_ergonomic_nonwords_n11871011,5-char nonwords,11871011,20,4,6.266917,0.833333
R0064,S11,2026-04-25T05:02:17.763544+00:00,five_char_ergonomic_nonwords_n11871011,5-char nonwords,11871011,17,4,5.091870,0.809524
R0065,S11,2026-04-25T05:03:28.138871+00:00,five_char_ergonomic_nonwords_n100000,5-char nonwords,100000,19,3,4.429234,0.863636
R0066,S12,2026-04-25T05:04:23.361494+00:00,five_char_common_words_n1000,5-char common words,1000,24,7,2.823230,0.774194
R0067,S11,2026-04-25T05:04:37.317836+00:00,five_char_ergonomic_nonwords_n1000,5-char nonwords,1000,29,6,3.819664,0.828571
R0068,S11,2026-04-25T05:05:48.751659+00:00,five_char_all_words_n10365,5-char all words,10365,24,20,0.889286,0.545455
R0069,S12,2026-04-25T05:06:13.580523+00:00,three_char_common_words_n100,3-char common words,100,45,8,4.088103,0.849057
R0070,S11,2026-04-25T05:06:56.138143+00:00,five_char_common_words_n1000,5-char common words,1000,39,7,5.314315,0.847826
R0071,S12,2026-04-25T05:08:00.569946+00:00,five_char_ergonomic_nonwords_n11871011,5-char nonwords,11871011,14,2,4.700188,0.875000
R0072,S11,2026-04-25T05:08:06.134652+00:00,three_char_ergonomic_nonwords_n16009,3-char nonwords,16009,41,4,8.612678,0.911111
R0073,S11,2026-04-25T05:09:13.284368+00:00,three_char_ergonomic_nonwords_n1000,3-char nonwords,1000,35,10,4.151809,0.777778
R0074,S12,2026-04-25T05:09:16.771476+00:00,three_char_ergonomic_nonwords_n100,3-char nonwords,100,24,3,2.320275,0.888889
R0075,S11,2026-04-25T05:10:23.739373+00:00,three_char_ergonomic_nonwords_n100,3-char nonwords,100,42,3,4.309082,0.933333
R0076,S12,2026-04-25T05:10:55.276757+00:00,five_char_ergonomic_nonwords_n1000,5-char nonwords,1000,15,3,1.992868,0.833333
R0077,S11,2026-04-25T05:11:31.383676+00:00,three_char_all_words_n1567,3-char all words,1567,55,3,9.197819,0.948276
