subject_code,sessions,current_conditions_seen,completed_all_11,first_created_at,last_created_at
S01,13,4,false,2026-04-24T04:41:39.337583+00:00,2026-04-24T22:30:20.918243+00:00
S02,1,1,false,2026-04-24T04:47:12.174149+00:00,2026-04-24T04:47:12.174149+00:00
S03,4,3,false,2026-04-24T05:02:33.41962+00:00,2026-04-24T05:06:29.616455+00:00
S04,4,3,false,2026-04-24T05:10:38.265726+00:00,2026-04-24T05:14:20.733681+00:00
S05,4,2,false,2026-04-24T05:24:15.511509+00:00,2026-04-24T05:28:17.497095+00:00
S06,5,3,false,2026-04-24T05:38:32.921795+00:00,2026-04-24T05:43:37.662736+00:00
S07,4,3,false,2026-04-24T20:03:57.2453+00:00,2026-04-24T20:07:46.736541+00:00
S08,8,5,false,2026-04-24T22:34:00.573073+00:00,2026-04-24T22:42:08.572687+00:00
S09,12,6,false,2026-04-25T00:58:43.869266+00:00,2026-04-25T06:15:38.552586+00:00
S10,11,11,true,2026-04-25T04:48:46.865023+00:00,2026-04-25T05:00:29.877618+00:00
S11,11,11,true,2026-04-25T05:02:17.763544+00:00,2026-04-25T05:13:46.79725+00:00
S12,11,11,true,2026-04-25T05:04:23.361494+00:00,2026-04-25T05:18:36.582978+00:00
S13,11,11,true,2026-04-25T05:13:16.176001+00:00,2026-04-25T05:27:03.761823+00:00
S14,11,11,true,2026-04-25T05:31:36.363841+00:00,2026-04-25T05:43:55.259186+00:00
S15,1,1,false,2026-04-25T06:20:26.492551+00:00,2026-04-25T06:20:26.492551+00:00
